content,score,label,text_clean,text_stopword,text_tokenize,text_stemmed
Gamenya bagus dan harus nolep:v tapi jujur game bagus dah tapi kalo hpnya kentang jangan maksain diri dan hadiahnya bagus.,5,positif,gamenya bagus dan harus nolep v tapi jujur game bagus dah tapi kalo hpnya kentang jangan maksain diri dan hadiahnya bagus ,gamenya bagus nolep v jujur game bagus dah kalo hpnya kentang maksain hadiahnya bagus,"['gamenya', 'bagus', 'nolep', 'v', 'jujur', 'game', 'bagus', 'dah', 'kalo', 'hpnya', 'kentang', 'maksain', 'hadiahnya', 'bagus']",gamenya bagus nolep v jujur game bagus dah kalo hpnya kentang maksain hadiah bagus
Saya berharap game ini bisa di kurangin lagi data nya karena bagi saya untuk Ram 4gb /64 udah lag tolong ya defeloper,2,negatif,saya berharap game ini bisa di kurangin lagi data nya karena bagi saya untuk ram  gb     udah lag tolong ya defeloper,berharap game kurangin data nya ram gb udah lag tolong ya defeloper,"['berharap', 'game', 'kurangin', 'data', 'nya', 'ram', 'gb', 'udah', 'lag', 'tolong', 'ya', 'defeloper']",harap game rangin data nya ram gb udah lag tolong ya defeloper
"Masih pemula, semoga bisa betah dengan grafis, alur cerita dan fitur lainnya. Pasti gampang maininnya dengan banyak karakter, pasti bisa dapet semuanya tanpa topup hehe",5,positif,masih pemula  semoga bisa betah dengan grafis  alur cerita dan fitur lainnya  pasti gampang maininnya dengan banyak karakter  pasti bisa dapet semuanya tanpa topup hehe,pemula semoga betah grafis alur cerita fitur gampang maininnya karakter dapet topup hehe,"['pemula', 'semoga', 'betah', 'grafis', 'alur', 'cerita', 'fitur', 'gampang', 'maininnya', 'karakter', 'dapet', 'topup', 'hehe']",mula moga betah grafis alur cerita fitur gampang maininnya karakter dapet topup hehe
maaf sebelum nya saya ingin bertanya ko genshin saya stuck di loading screen padahal sebelum-sebelum nya tidak ada masalah sama sekali,5,positif,maaf sebelum nya saya ingin bertanya ko genshin saya stuck di loading screen padahal sebelum sebelum nya tidak ada masalah sama sekali,maaf nya ko genshin stuck loading screen nya,"['maaf', 'nya', 'ko', 'genshin', 'stuck', 'loading', 'screen', 'nya']",maaf nya ko genshin stuck loading screen nya
"Perjalanan yang asyikk, cerita nya sangat menarik",5,positif,perjalanan yang asyikk  cerita nya sangat menarik,perjalanan asyikk cerita nya menarik,"['perjalanan', 'asyikk', 'cerita', 'nya', 'menarik']",jalan asyikk cerita nya tarik
Wow luar biasa 😁😁😁😄😄😄saya bisa merasakan kebahagiaan saat memainkan game ini Untuk update kali ini kok jadi ngelek di infinix note 30 pro gw.. Tolong di cek dong,5,positif,wow luar biasa       saya bisa merasakan kebahagiaan saat memainkan game ini untuk update kali ini kok jadi ngelek di infinix note    pro gw   tolong di cek dong,wow merasakan kebahagiaan memainkan game update kali ngelek infinix note pro gw tolong cek,"['wow', 'merasakan', 'kebahagiaan', 'memainkan', 'game', 'update', 'kali', 'ngelek', 'infinix', 'note', 'pro', 'gw', 'tolong', 'cek']",wow rasa bahagia main game update kali ngelek infinix note pro gw tolong cek
Sebenarnya game nya bagus banget T-T Cuman sangat di sayang kan di update kali ini sangat nga jelegur bikin penyimpanan penuh dan juga suka ngelag kadang juga ngebug dan juga waktu loading di bagian geo nya itu lama banget padahal jaringan lancar,4,positif,sebenarnya game nya bagus banget t t cuman sangat di sayang kan di update kali ini sangat nga jelegur bikin penyimpanan penuh dan juga suka ngelag kadang juga ngebug dan juga waktu loading di bagian geo nya itu lama banget padahal jaringan lancar,game nya bagus banget t t cuman sayang update kali nga jelegur bikin penyimpanan penuh suka ngelag kadang ngebug loading geo nya banget jaringan lancar,"['game', 'nya', 'bagus', 'banget', 't', 't', 'cuman', 'sayang', 'update', 'kali', 'nga', 'jelegur', 'bikin', 'penyimpanan', 'penuh', 'suka', 'ngelag', 'kadang', 'ngebug', 'loading', 'geo', 'nya', 'banget', 'jaringan', 'lancar']",game nya bagus banget t t cuman sayang update kali nga jelegur bikin simpan penuh suka ngelag kadang ngebug loading geo nya banget jaring lancar
"Event nya makin sampah, event semakin ke region baru menuntut anda untuk memiliki karakter terbaru dan harus sudah artifact sempurna, anda tidak akan mendapatkan hadiah jika memiliki device yang buruk dan koneksi yang pas-pasan",1,negatif,event nya makin sampah  event semakin ke region baru menuntut anda untuk memiliki karakter terbaru dan harus sudah artifact sempurna  anda tidak akan mendapatkan hadiah jika memiliki device yang buruk dan koneksi yang pas pasan,event nya sampah event region menuntut memiliki karakter terbaru artifact sempurna hadiah memiliki device buruk koneksi pas pasan,"['event', 'nya', 'sampah', 'event', 'region', 'menuntut', 'memiliki', 'karakter', 'terbaru', 'artifact', 'sempurna', 'hadiah', 'memiliki', 'device', 'buruk', 'koneksi', 'pas', 'pasan']",event nya sampah event region tuntut milik karakter baru artifact sempurna hadiah milik device buruk koneksi pas pas
Lama-lama bosen gw jir tambah konten baru kayak game sebelah lah,3,negatif,lama lama bosen gw jir tambah konten baru kayak game sebelah lah,bosen gw jir konten kayak game sebelah,"['bosen', 'gw', 'jir', 'konten', 'kayak', 'game', 'sebelah']",bosen gw jir konten kayak game belah
"Kalau bisa perbanyak even yang bagus, dan story yang seru dan sedih, sisanya sudah mantapp😜😜",5,positif,kalau bisa perbanyak even yang bagus  dan story yang seru dan sedih  sisanya sudah mantapp  ,perbanyak even bagus story seru sedih sisanya mantapp,"['perbanyak', 'even', 'bagus', 'story', 'seru', 'sedih', 'sisanya', 'mantapp']",banyak even bagus story seru sedih sisa mantapp
Plis semoga di update selanjutnya android bisa pake gamepad di android,4,positif,plis semoga di update selanjutnya android bisa pake gamepad di android,plis semoga update android pake gamepad android,"['plis', 'semoga', 'update', 'android', 'pake', 'gamepad', 'android']",plis moga update android pake gamepad android
"Game nya seru jalan ceritanya unik dan buanyak plotwis gila tapi kadang padahal wifi bagus semua pas tapi kadang sering lag padahal gak ada apa apa itu aja sih terima kasih oh satu lagi banyak bug di liyue,inazuma dan sumeru kadang sering kejepit atau ke teleport sendiri jadi tolong dibenerin ya",4,positif,game nya seru jalan ceritanya unik dan buanyak plotwis gila tapi kadang padahal wifi bagus semua pas tapi kadang sering lag padahal gak ada apa apa itu aja sih terima kasih oh satu lagi banyak bug di liyue inazuma dan sumeru kadang sering kejepit atau ke teleport sendiri jadi tolong dibenerin ya,game nya seru jalan ceritanya unik buanyak plotwis gila kadang wifi bagus pas kadang lag gak aja sih terima kasih oh bug liyue inazuma sumeru kadang kejepit teleport tolong dibenerin ya,"['game', 'nya', 'seru', 'jalan', 'ceritanya', 'unik', 'buanyak', 'plotwis', 'gila', 'kadang', 'wifi', 'bagus', 'pas', 'kadang', 'lag', 'gak', 'aja', 'sih', 'terima', 'kasih', 'oh', 'bug', 'liyue', 'inazuma', 'sumeru', 'kadang', 'kejepit', 'teleport', 'tolong', 'dibenerin', 'ya']",game nya seru jalan cerita unik buanyak plotwis gila kadang wifi bagus pas kadang lag gak aja sih terima kasih oh bug liyue inazuma sumeru kadang jepit teleport tolong dibenerin ya
"Game open word yang seru, petualangan tanpa henti, banyak quest dan tantangan yang seru dan wajib di coba, banyak karakter tampilan skil dan efek yang bagus dan memukau, grafik yang tinggi sangat bagus dilihat, tidak frame drop 4 tahun memainkan game ini, tapi sayang bagi saya belum mendapatkan karakter bintang 5, karena saya player yang hanya mengumpulkan primogem yang ditukar dengan Intertwined Fate untuk meminta permohonan karakter.",5,positif,game open word yang seru  petualangan tanpa henti  banyak quest dan tantangan yang seru dan wajib di coba  banyak karakter tampilan skil dan efek yang bagus dan memukau  grafik yang tinggi sangat bagus dilihat  tidak frame drop   tahun memainkan game ini  tapi sayang bagi saya belum mendapatkan karakter bintang    karena saya player yang hanya mengumpulkan primogem yang ditukar dengan intertwined fate untuk meminta permohonan karakter ,game open word seru petualangan henti quest tantangan seru wajib coba karakter tampilan skil efek bagus memukau grafik bagus frame drop memainkan game sayang karakter bintang player mengumpulkan primogem ditukar intertwined fate permohonan karakter,"['game', 'open', 'word', 'seru', 'petualangan', 'henti', 'quest', 'tantangan', 'seru', 'wajib', 'coba', 'karakter', 'tampilan', 'skil', 'efek', 'bagus', 'memukau', 'grafik', 'bagus', 'frame', 'drop', 'memainkan', 'game', 'sayang', 'karakter', 'bintang', 'player', 'mengumpulkan', 'primogem', 'ditukar', 'intertwined', 'fate', 'permohonan', 'karakter']",game open word seru tualang henti quest tantang seru wajib coba karakter tampil skil efek bagus pukau grafik bagus frame drop main game sayang karakter bintang player kumpul primogem tukar intertwined fate mohon karakter
"Gamenya bagus, cuma misinya banyak yang susah dan nggk seimbang sama level karakter. Untuk descent karakter juga susah, mau buka map baru lebih susah lagi krn bisa2 mati karakternya. Misi yang diambil dan sempat belum selesai karena misi utama kadang kalo mau dikerjain di map nggk ditunjukin arahnya mau kemana jadi saya yg buta map kadang muter2 aja, kecuali teman veteran online baru dituntun mainnya. Wktu misi buka 3 segel juga pdahal udh ratain semuanya tp nggk kebuka2 itu segel.",4,positif,gamenya bagus  cuma misinya banyak yang susah dan nggk seimbang sama level karakter  untuk descent karakter juga susah  mau buka map baru lebih susah lagi krn bisa  mati karakternya  misi yang diambil dan sempat belum selesai karena misi utama kadang kalo mau dikerjain di map nggk ditunjukin arahnya mau kemana jadi saya yg buta map kadang muter  aja  kecuali teman veteran online baru dituntun mainnya  wktu misi buka   segel juga pdahal udh ratain semuanya tp nggk kebuka  itu segel ,gamenya bagus misinya susah nggk seimbang level karakter descent karakter susah buka map susah krn mati karakternya misi diambil selesai misi utama kadang kalo dikerjain map nggk ditunjukin arahnya kemana yg buta map kadang muter aja kecuali teman veteran online dituntun mainnya wktu misi buka segel pdahal udh ratain tp nggk kebuka segel,"['gamenya', 'bagus', 'misinya', 'susah', 'nggk', 'seimbang', 'level', 'karakter', 'descent', 'karakter', 'susah', 'buka', 'map', 'susah', 'krn', 'mati', 'karakternya', 'misi', 'diambil', 'selesai', 'misi', 'utama', 'kadang', 'kalo', 'dikerjain', 'map', 'nggk', 'ditunjukin', 'arahnya', 'kemana', 'yg', 'buta', 'map', 'kadang', 'muter', 'aja', 'kecuali', 'teman', 'veteran', 'online', 'dituntun', 'mainnya', 'wktu', 'misi', 'buka', 'segel', 'pdahal', 'udh', 'ratain', 'tp', 'nggk', 'kebuka', 'segel']",gamenya bagus misi susah nggk imbang level karakter descent karakter susah buka map susah krn mati karakter misi ambil selesai misi utama kadang kalo dikerjain map nggk ditunjukin arah mana yg buta map kadang muter aja kecuali teman veteran online tuntun main wktu misi buka segel pdahal udh ratain tp nggk buka segel
"Game nya bagus banget,aku suka banget sama grafik nya,musiknya, karakter,dan pemandangan nya, pokoknya bagus deh👍👍",5,positif,game nya bagus banget aku suka banget sama grafik nya musiknya  karakter dan pemandangan nya  pokoknya bagus deh  ,game nya bagus banget suka banget grafik nya musiknya karakter pemandangan nya pokoknya bagus deh,"['game', 'nya', 'bagus', 'banget', 'suka', 'banget', 'grafik', 'nya', 'musiknya', 'karakter', 'pemandangan', 'nya', 'pokoknya', 'bagus', 'deh']",game nya bagus banget suka banget grafik nya musik karakter pandang nya pokok bagus deh
"Gemenya Seru. Tapi,Tolong ping jaringannya jangan kuning terus,,,",4,positif,gemenya seru  tapi tolong ping jaringannya jangan kuning terus   ,gemenya seru tolong ping jaringannya kuning,"['gemenya', 'seru', 'tolong', 'ping', 'jaringannya', 'kuning']",gemenya seru tolong ping jaring kuning
"Bagus banget lo, menurutku ini game RPG, open world terbaik sih. Secara interaksi banyak, dan detail. Udah main ±1 tahun setengag dan udah kayak rumah sendiri. Gameplay nga gak ngebosenin karena selalu ada yang batu. Awalnya main di laptop dan di hp, sama-sama menyenangkan. Cuman yaa Hadiahnya aja yang dikit-dikit hhe.",5,positif,bagus banget lo  menurutku ini game rpg  open world terbaik sih  secara interaksi banyak  dan detail  udah main    tahun setengag dan udah kayak rumah sendiri  gameplay nga gak ngebosenin karena selalu ada yang batu  awalnya main di laptop dan di hp  sama sama menyenangkan  cuman yaa hadiahnya aja yang dikit dikit hhe ,bagus banget lo menurutku game rpg open world terbaik sih interaksi detail udah main setengag udah kayak rumah gameplay nga gak ngebosenin batu main laptop hp menyenangkan cuman yaa hadiahnya aja dikit dikit hhe,"['bagus', 'banget', 'lo', 'menurutku', 'game', 'rpg', 'open', 'world', 'terbaik', 'sih', 'interaksi', 'detail', 'udah', 'main', 'setengag', 'udah', 'kayak', 'rumah', 'gameplay', 'nga', 'gak', 'ngebosenin', 'batu', 'main', 'laptop', 'hp', 'menyenangkan', 'cuman', 'yaa', 'hadiahnya', 'aja', 'dikit', 'dikit', 'hhe']",bagus banget lo turut game rpg open world baik sih interaksi detail udah main setengag udah kayak rumah gameplay nga gak ngebosenin batu main laptop hp senang cuman yaa hadiah aja dikit dikit hhe
"Selamat siang, 你好 pihak hoyoverse, sebenarnya untuk keseluruhan game menurut saya pribadi jujur game ini adalah game RPG terbaik menurut saya dengan alur quest nya, karakter, hingga desain tempat dan kesan petualangan fantastis. Akan tetapi ada satu keluhan yang dapat saya sampaikan, barang yang awalnya sudah terlanjur saya craft dan bisa saja itu kesalahan kita sebagai player.atas it bisakah dengan hormat pihak hoyo menambahkan fitur untuk mengembalikan barang itu seperti semula(undo) lagi, 謝謝.",5,positif,selamat siang     pihak hoyoverse  sebenarnya untuk keseluruhan game menurut saya pribadi jujur game ini adalah game rpg terbaik menurut saya dengan alur quest nya  karakter  hingga desain tempat dan kesan petualangan fantastis  akan tetapi ada satu keluhan yang dapat saya sampaikan  barang yang awalnya sudah terlanjur saya craft dan bisa saja itu kesalahan kita sebagai player atas it bisakah dengan hormat pihak hoyo menambahkan fitur untuk mengembalikan barang itu seperti semula undo  lagi     ,selamat siang hoyoverse game pribadi jujur game game rpg terbaik alur quest nya karakter desain kesan petualangan fantastis keluhan barang terlanjur craft kesalahan player it hormat hoyo fitur mengembalikan barang undo,"['selamat', 'siang', 'hoyoverse', 'game', 'pribadi', 'jujur', 'game', 'game', 'rpg', 'terbaik', 'alur', 'quest', 'nya', 'karakter', 'desain', 'kesan', 'petualangan', 'fantastis', 'keluhan', 'barang', 'terlanjur', 'craft', 'kesalahan', 'player', 'it', 'hormat', 'hoyo', 'fitur', 'mengembalikan', 'barang', 'undo']",selamat siang hoyoverse game pribadi jujur game game rpg baik alur quest nya karakter desain kesan tualang fantastis keluh barang lanjur craft salah player it hormat hoyo fitur kembali barang undo
"Gamenya bagus grafik nya apalagi bagus banget tapi ini saya mau coba ganti akun pake akun baru bisa ga pas ganti akun semua info game nya gausah restart lagi dari awal kaya karakter nya, quest nya gausah ulang lagi dari awal",4,positif,gamenya bagus grafik nya apalagi bagus banget tapi ini saya mau coba ganti akun pake akun baru bisa ga pas ganti akun semua info game nya gausah restart lagi dari awal kaya karakter nya  quest nya gausah ulang lagi dari awal,gamenya bagus grafik nya bagus banget coba ganti akun pake akun ga pas ganti akun info game nya gausah restart kaya karakter nya quest nya gausah ulang,"['gamenya', 'bagus', 'grafik', 'nya', 'bagus', 'banget', 'coba', 'ganti', 'akun', 'pake', 'akun', 'ga', 'pas', 'ganti', 'akun', 'info', 'game', 'nya', 'gausah', 'restart', 'kaya', 'karakter', 'nya', 'quest', 'nya', 'gausah', 'ulang']",gamenya bagus grafik nya bagus banget coba ganti akun pake akun ga pas ganti akun info game nya gausah restart kaya karakter nya quest nya gausah ulang
"Untuk keseluruhan sih udh bagus dan sangat disaran kan untuk di download untuk hp² yang ram nya gede minimal 8+..soalnya ini rom nya sangat banyak memakan ruang memory..padahal saya udh jauh dan rata² level player 70+ dan sudah banyak terbuka semua map,tapi sayang nya ku harus berhenti,karena makin kesini kapasitas ruang memory nya tidak cukup untuk menampung pembaruan lagi,.sekian terimakasih🙏dari awal SMPE akhir sangat² baik dan bagus game nya",5,positif,untuk keseluruhan sih udh bagus dan sangat disaran kan untuk di download untuk hp  yang ram nya gede minimal     soalnya ini rom nya sangat banyak memakan ruang memory  padahal saya udh jauh dan rata  level player     dan sudah banyak terbuka semua map tapi sayang nya ku harus berhenti karena makin kesini kapasitas ruang memory nya tidak cukup untuk menampung pembaruan lagi  sekian terimakasih dari awal smpe akhir sangat  baik dan bagus game nya,sih udh bagus disaran download hp ram nya gede minimal rom nya memakan ruang memory udh level player terbuka map sayang nya ku berhenti kesini kapasitas ruang memory nya menampung pembaruan sekian terimakasih smpe bagus game nya,"['sih', 'udh', 'bagus', 'disaran', 'download', 'hp', 'ram', 'nya', 'gede', 'minimal', 'rom', 'nya', 'memakan', 'ruang', 'memory', 'udh', 'level', 'player', 'terbuka', 'map', 'sayang', 'nya', 'ku', 'berhenti', 'kesini', 'kapasitas', 'ruang', 'memory', 'nya', 'menampung', 'pembaruan', 'sekian', 'terimakasih', 'smpe', 'bagus', 'game', 'nya']",sih udh bagus sar download hp ram nya gede minimal rom nya makan ruang memory udh level player buka map sayang nya ku henti kesini kapasitas ruang memory nya tampung baru sekian terimakasih smpe bagus game nya
"Saya coba bermain pertama kali langsung suka dengan alur ceritanya, ada banyak lagi tempat"" yang harus kita jelajahi, gak tau mau komen apa lagi bagus dah game nya genshin impact mendapatkan bintang 5 dari saya👐",5,positif,saya coba bermain pertama kali langsung suka dengan alur ceritanya  ada banyak lagi tempat  yang harus kita jelajahi  gak tau mau komen apa lagi bagus dah game nya genshin impact mendapatkan bintang   dari saya ,coba bermain kali langsung suka alur ceritanya jelajahi gak tau komen bagus dah game nya genshin impact bintang,"['coba', 'bermain', 'kali', 'langsung', 'suka', 'alur', 'ceritanya', 'jelajahi', 'gak', 'tau', 'komen', 'bagus', 'dah', 'game', 'nya', 'genshin', 'impact', 'bintang']",coba main kali langsung suka alur cerita jelajah gak tau komen bagus dah game nya genshin impact bintang
Saat sedang menjalankan quest di monstad layar saya jadi hitam dan tidak bisa ngapa-ngapain walaupun log ulang,3,negatif,saat sedang menjalankan quest di monstad layar saya jadi hitam dan tidak bisa ngapa ngapain walaupun log ulang,menjalankan quest monstad layar hitam ngapa ngapain log ulang,"['menjalankan', 'quest', 'monstad', 'layar', 'hitam', 'ngapa', 'ngapain', 'log', 'ulang']",jalan quest monstad layar hitam ngapa ngapain log ulang
"Tolong bug di cairkan bongkahan es di perbaiki, tidak bisa turun ke bawah, lama-lama saya malas main game ini",2,negatif,tolong bug di cairkan bongkahan es di perbaiki  tidak bisa turun ke bawah  lama lama saya malas main game ini,tolong bug cairkan bongkahan es perbaiki turun malas main game,"['tolong', 'bug', 'cairkan', 'bongkahan', 'es', 'perbaiki', 'turun', 'malas', 'main', 'game']",tolong bug cair bongkah es baik turun malas main game
