content,score,label
"Rada anj y gw download genshin tuh cuma 15gb, nah karna penyimpanan gw gk cukup akhirnya gw hapus hapus in app appd dll sampe penyimpanan tuh sisa 25gb an pas gw mau download ngapa disuruh download 29 anj",1,negatif
Tolong jangan buat bug saat kita memasuki aplikasi nya mengalami black screen🙏,3,negatif
Mohon untuk developer mohon sekali permudahkan untuk player ram 2 mohon buat agar tidak lag jika sudah aku akan iklan kan game ini di yt saya dan akan saya rating 5 :) mohon 🙏🙏🙏🙏 ini setelah saya download dan game nya tidak memuaskan mengapa harus download lagi padahal harusnya waktu download apk nya file nya juga ini enggak kok developer nya Curang ya 😁 bet #Ngotakdikit dong 🤣,3,negatif
"Dari segi grafik, alur, udah lebih dari kata bagus. Hanya saja waktu update-nya terlalu cepat kurang lebih bisa 1 bulan sekali. Jadi memakan banyak beban memori internal dan kuota. Bug/lag saat animasi dan pergerakan. Tolong sediakan fitur penghapus data yang tidak terpakai.",4,positif
"Semuanya sudah bagus dari segi cerita karakter visual effect dan sebagainya. Namun untuk pull/gacha karakter itu sangat tidak bersahabat dengan player baru seperti saya. Aku harap sih wish nya raah bagu player gratisan kek saya. Tapi untuk event juga reward nya agak kurang memuaskan bagiku dan seumpama dapat primogem itu pun cuma secuil Wish 1/2x gitu dan untuk senjata² rata rata kalo wish itu jelek banget, sengganya wish karakter dpt pedng nya ga sampah gituh.",3,negatif
"Gameplay nya bagus banget, questnya juga seru, Baguslah pokoknya. Kasih banyak bansos yo😁",5,positif
Pengen main tapi berat di awal karna harus donload data kurang lebih 30 gb Mnding nyicil kaya ml ff biar ga berat di donload data donload pake wifi lama pake kuota ga kuat pen uninstall tpi masih penasaran sama game nya apa game ini masih bisa di mainkan di android 13 ? 8/250? Masih bingung sama ukuran file nya baru ke unduh 4GB tpi ini asli 30 apa 290? Saran mnding lanjut apa stop takut nya ngabisin kuota ga jelas 🙏 Main ngga 😖🙏 agen yg baik hati thank you udh baca semoga di mudahkan,3,negatif
"Game nya sangat seru dan alur cerita nya ga ngebosenin,gameplay nya juga ga malu maluin, tapi pas gacha, selalu merah terus kadang bisa sampe pity 80 baru dapet, tolong dipermudahkan untuk bagian gacha, dan untuk primo gratis nya tolong agak banyakan😁",4,positif
"Sistem artefak busuk, quest story kepanjangan ga ada fitur skip, jaringan gampang lag, sistem wish gapernah bagus",1,negatif
"Perjuangan dari device rendah di tahun 2016 main genshin sering patah-patah bahkan sampe nge-hang dan akhirnya mutusin buat pensi, di tahun 2022 setelah ganti device mutusin buat download lagi, dan syukurlah ternyata lancar, perjuangan 6 tahun menunggu :)",5,positif
"Maaf aku kasi bintang 1 soalnya gak bisa login login malah di suruh kosongkan ruangan aku udah sampe youtube, sama whatsapp sama genshin Padahal ram aku 4gb gak tau lagi dah gw mah pusing mending main youtube aja dah dah pasrah sumpah",1,negatif
"Game nya udah sangat bgus.kalau bisa update ke depannya bisa skip stoknya. Soalnya akun saya terkena hack.saya ngulang dari awal lagi, sangat menghabiskan waktu",5,positif
Game ny bagus tapi rate gacha weapon nya jelek banget kenapa selalu terbalik harus ny gua minta itu kenapa di kasih lain tolong lah mihoyo jan begitu lah udh sering kali kena scam gacha weapon,5,positif
"mungkin bisa tambahkan fitur craft conden resin di deket menu tambah resin, agar player tidak perlu lagi ke lokasi craft yang ada di kota/tipot udh itu aja sih terimakasih garena",5,positif
"Pengoptimalan nya sangat bagus, bahkan snapdragon 680 bisa main pake grafik menengah dengan lancar",5,positif
"game nya dan kualitasnya udah bagus, mines nya cuma di grafik, entah kenapa di HP infinix note 30 game ini kelihatan nya burik, tapi di HP lain game ini memiliki kualitas grafik yang sangat luar biasa, jadi untuk developer tolong grafik nya di sesuaikan lagi untuk HP seperti punya saya ini, agar semua player nya bisa merasakan kenyamanan yang sama",4,positif
Gamenya tidak bisa di mainkan padahal internet ku bagus banget tolong di perbaiki,1,negatif
"Asli rame banget gamenya, ga bosenin, alurnya banyak, storynya bagus.",5,positif
"Sangat bagus,aku sangat ketagihan memainkan game ini,tapi aku butuh 2 hari buat download data nya😂.",5,positif
"Game nya overall bagus, quest, jalan cerita, desaign character bagus, explore, grafik, dan gameplay bagus, cuma ruang aplikasi terlalu besar, maklum.",5,positif
"bagus, grafiknya keren dan character nya keren2",5,positif
"Kenapa jadi susah buat masuk dalam game,... Stuck terus di awal , Memeriksa update... Gak bisa masuk ... Gimana itu... Keluar masuk melulu , Hampir 5 sampe 6 kali kayak gitu..",1,negatif
Astaga internal butuh 30gb sendiri.Untuk sementara pensi dulu XD.,3,negatif
Bagus sih tapi buat kalian kalo mau maen harus nunggu 1 hari 2 jam dulu ya buat download data👍🏼,5,positif
"Kasih opsional login via QR dong buat perangkat baru, saya lupa akun email dan gak bisa ngirim kode buat pindah device baruu",4,positif
"Game dewa tapi buat HP dewa. HP gw cepet panas, kadang freeze pas main. Tapi gamenya bagus banget. Seandaikan bisa d mainkan dengan lancar d HP gw.",5,positif
Game nya bagus.. Tapi... Tolong lah kasih fitur biar mainnya bisa pake joystick. Biar bisa lebih enak mainnya.. Pemandangan di game juga biar gak kehalangan jempol..,4,positif
Game ini sangat bagus dari segi grafik dan animasi saya merekomendasikan untuk yg mencari game anime open world dan petualangan yg tidak membosankan bisa untuk mendownloadnya 😲,5,positif
Suka banget sama game open world gini. Dan setiap Quest itu selalu ada ceritanya,5,positif
"Suka banget sama ini game. Mulai dari grafik, alur cerita, gameplay-nya sangat bagus. Rela beli HP yang speknya bagus demi ini game",5,positif
"Grafik luar biasa, gameplay asik, karakter menarik, pokoknya bintang lima dah",5,positif
Gw gk bisa main cok di suruh kosongin file mulu gimana gw mau main semua apk dah gw hapus tapi masih gk bisa ini game,1,negatif
"Game nya bagus, tapi kenapa akhir akhir ini sering nge stuck di memeriksa update",5,positif
"Game gak ngerti waktu 1 menit itungan nya cepet bat udh kaya 30 detik, gua bandingin sama stopwact apa ini ngerti waktu lah",2,negatif
"[Update Comment] Sejauh ini penilaian saya terhadap Genshin Impact tetap di nilai ""Sangat Baik"". Masih sangat enak untuk dimainkan. *Device Poco X5 5G (Snapdragon 695 - 8GB of RAM)",5,positif
"Map pin tambah 50 yeah! Tapi ada 2 karakter 🌟🌟🌟🌟 di nerf, sangat mengecewakan. Kenapa tidak sebelum rilis aja di nerf, kok jadi game sebelah suka nerf karakter.",3,negatif
"Game'nya bagus,, cmn mohon di tingkatkan lagi untuk yang versi android agar tidak mudah mengalami lag",4,positif
"Oke game nya bagus👍 cuman mau bilangin, seandainya ada mode translate chat masti lebih mudah untuk berkomunikasi dgn orang lain, soalnya saya baru main ni game tiba"" ada yg masuk ke dunia gw gitu,trus dia pake bahasa jepang jadi sayanya gk ngerti, ya begitulah keluh kesah saya😅 semoga ada fitur translate nya aja gitu😅 tapi gamenya dah bagus kok😅👍",4,positif
"quest meniggalkan ritou waktu nya bisa ditambah ga 5 menit tapi banyak banget yg harus dilawan, buat player new kaya gw itu susah udah dari bulan lalu gw main g bisa bisa jadi tolong tambah waktunya 🙏",3,negatif
"Untuk keseluruhan game ini sudah bagus , untuk developer hoyoverse tolong perbaiki saat mendownload data di game ini , saat mendownload seperti ada jeda nya atau tersendat sendat , mohon untuk di perbaiki lagi",4,positif
Entah kenapa akhir akhir ini pas login selalu ngestuck padahal jaringan wifi saya bagus terus kalo mau login harus pake data seluler baru bisa gimana saya mau login kalo saya gak punya paket nantinya,4,positif
"Mantap amat nih game, player juga cenderung ramah2 gk kyak game sebelah,, soal grafik jga sangat bagus, map luas.",5,positif
Bagus si bagus kemarin waktu login yang ada element nya element yang terakhir tandanya cuma setengah jadi ngestuck gk bisa main;(,5,positif
"Baru 2 hari main, sumpah game ini banyak menghabiskan waktuku.. Nice",5,positif
𝐊𝐧𝐩 𝐩𝐚𝐬 𝐥𝐨𝐠𝐢𝐧 𝐡𝐚𝐫𝐮𝐬 𝐦𝐞𝐧𝐠𝐮𝐧𝐝𝐮𝐡 𝐝𝐚𝐭𝐚 𝐝𝐮𝐥𝐮 𝐦𝐚𝐧𝐚 𝐥𝐚𝐦𝐚 𝐛𝐚𝐧𝐠𝐞𝐭 𝐥𝐚𝐠𝐢 𝐭𝐚𝐩𝐢 𝐲𝐚 𝐜𝐮𝐤𝐮𝐩 𝐛𝐚𝐠𝐮𝐬,3,negatif
"Game yang dimainin buat meringankan stress, gak terlalu kompetitif, jadi benar-benar fun to play, open world yang indah, gameplay yang menarik, dialognya yang banyak tetapi setiap dialognya enak buat dicermati, desain karakter yang keren, memang pantas buat dapat rating yang tinggi.",5,positif
Bagus banget grafik nya bagus walaupun bikin ngelag tetep bagus karakter nya juga keren keren apa lagi pas nyerang dan combo nya keren banget!,5,positif
Bagus sih gamenya tapi pas quest arconnya Venti ngebantu Dvalin kan himmernya itu dicuri fatui pas masuk ke hide out fatui pas udh yang api kok ngefreeze udh ngulang brp kali sama aja pls developer benerin padahal wifi ok penyimpanan lumayan😭😭,4,positif
"amat sgt bagus, tapi naikin gaji traveller nya dong😁",5,positif
"Kenapa kali ini stuck di memeriksa update, baru download udh bermasalah gini",4,positif
"Buat game nya udah bagus, tapi sering NGE lag pas login mentok di icon geo, buat artefaknya kasih yang bagus dikit lah,cape"" nguli seluruh domain tapi artefak nya sampah+harus ngorbanin resin yang di tabung",4,positif
Game nya seru dan cerita nya keren dan grafik GG,5,positif
"Sistem dapet stats bagus di domain artefak sangat jelek, dapet Arte yang stats hp dan deff Mulu, apalagi sistem domain yang dimana satu domain dua Arte padahal kita ingin dapat salah satu nya eh malah dapet yang lain misal shimenawa dan emblem malah dapet shimenawa mulu👎",1,negatif
Gimana ni kok setelah update bukanya tambah bagus malah jadi busuk Stuck logo mulu ni game,1,negatif
"Ini jujur gamenya bagus bgt boleh aku kasih saran ?,,boleh gk kasih karakter yg udah kita upgrade kayak lumine atau aether yg ga kepake itu kan kita udah upgrade jadi boleh gk karakter yg lumine atau aether itu di reset jadi balik soalny butuh bgt buat nantiny cuma sy level up lumine atau aether itu buat bisa lawan soalny sering mati ,, btw kapan dapat Nahida ya? 🥲",5,positif
Mohon untuk menambahkan fitur edit tombol pada android soalnya agak kekecilan tombol nya jadi agak susah,5,positif
"Gamenya sangat bagus & tidak pasaran. Tapi tolong untuk ke depannya permudah bagi yang memainkan di android supaya tidak gampang lag, kadang pingnya tiba2 jelek, dan saran saya mungkin dengan adanya pengaturan resolusi grafik & manajemen unduhan bisa sangat membantu pengguna android.",4,positif
Gak expect gua jir data dalam gamenya smpe 29gb wkwk .. Padahal gua udh exited banget pengen mainin ini game wkwk,3,negatif
"i love this game. penggambaran setiap karakter benar-benar detail dan indah, dan karakter yang penggambaran masa lalu (lore) sampai sekarang yang benar-benar menyayat hati adalah furina dan scara. aku nangis tiap kali inget backstory nya scara, bahkan pernah pas ngelamun mlh nangis krn yg dipikiran ku scara, bener-bener emotional banget, entah aku yg berlebihan atau gmn, tp jjr aku pgn ada scene dmn scara bnr bnr ngerasa pantes ada didunia, aku bangga sama dia, scara kuat. ily wandererr💌💌",5,positif
"game nya bagus, cuman pas nunggu download data lama bangett, terus sekali nya main pasti perangkat lansgung cepet panas",5,positif
Data seluler harus kuat banget baru bisa msuk game nya tapi game nya seru grafik ok,3,negatif
"Gk bisa jalanin archon quest di fountine karena pas masuk ke bawah tanah selalu macet trus force close, padahal explore selain di bawah tanah map fountine aman2 saja, hp oppo reno 4f device mediatek, Tolong segera di perbaiki karena mungkin ini karena bug🙏",5,positif
"Tolong perbaiki lg ya knp udate hero baru jadi ngehenk, jadi terpaksa saya hapus dlu baru instal lg dan ternyata pas saya instal lg sama saja",1,negatif
Cerita dan perjalanannya sangat seru dan menarik dan juga banyak sekali teka-teki,5,positif
"Tolong For developer, untuk lebih di stabilkan lagi koneksi yg main pakai data, kenapa kok selalu stuk yah pas login di menu start l, kanapa musti di pancing pakai WiFi dlu ? Tolong !!",3,negatif
Ini game fav aku bangett kalo sehari ga main kek ada yang kurnag kalau gak mainn alhamdulillah aku juga udh punya map Inazuma aku jadi rajin archon quest,5,positif
Gamenya bagus bangt animasinya menarik dan gerafiknya baguss,5,positif
Seru cuma kadang kebingungan buat menyelesaikan misi harus nya dikasih petunjuk yang lebih jelas pas misi biar kita gak kebingungan selaku player baru,4,positif
"Game nya udah bagus tapi sering nge freez pas di domain tolong di perbaiki bug nya, saya sebagai player jadi terganggu",1,negatif
"Suka banget jujur sama gamenya.asik banget, terimakasih ya developer sudah buat game ini... Etapi kok di aku 18GB si ukurannya?(10 2021) skrng 01 2024, ukurannya udh 33GB zheyeng. Gta aja 3gb sumpah🤣 kaget akutu. Udah terlanjur cinta, mau aps tpi udh sayang🥲 mau pindah main di laptop males banget, enakan di HP.. Gimana ini? Mimin punya solusi tak? Kemarin sih sempet download kualitas grafik yang high, apa karena itu ya min? apa harus aku apus dulu, abis itu di download lg ya? Mimin help meeeee",5,positif
Kenapa ya kalo pas di padang pasir kek ngelag gitu? Tolong dong ini kok lama amat pas mau log in nya padahal sinyal lancar jaya aneh banget deh,2,negatif
"Saya ada keluhan terhadap game ini,saya sudah download data 34 gb,tapi setelah update masa di suruh download 34 gb lagi.",3,negatif
"Game nya seru, fiturnya bagus². Cuman sayangnya harus banyak tempat memory buat nampung game ini kalo upgrade hehehe",5,positif
Game ini bagus dari segi grafik walaupun kita harus download data Game yang cukup besar tali pas kita main game nya itu seru banget dari menjelajahi world dan bertarung dengan Monster itu udah bagus semoga ke depan lebih bagus lagi,5,positif
"Woi, ini kenapa loadingnya stuck geo mulu, abis itu tau"" nya keluar sendiri. Ada masalah kah? Hah?",1,negatif
Gamenya bagus grafiknya juga bagus tapi kok mau menyelesaikan misi itu jadi ngebug kenapa?,3,negatif
"Aku suka banget ama game ini dan asik banget. Tapi aku belum bisa kasih bintang 5 karena sebagai player f2p sangat susah untuk mendapatkan karakter bintang 5. Tapi overall gamenya bagus banget, aku suka :>",4,positif
"Game nya bagus Grafik nya juga bagus,Story ny jg masuk akal dan banyak plot twist nya.",5,positif
